id,name,country,hindex,citation
111682,"a a karpunin","",0,0
111702,"a b korchagin","",0,0
111683,"a berlee","",2,0
111703,"a besir kurtulmus","",1,0
111684,"a de boer","",60,0
111704,"a e voronkov","",0,0
111685,"a goriacheva","Russia",0,0
111705,"a i bubel","",0,0
111686,"a i vlasov","",0,0
111706,"a ilker kocatepe","Turkey",0,0
111687,"a j lockley","",0,0
111707,"a k l mastenbroek","",0,0
111688,"a kaklauskas","Lithuania",38,0
111708,"a kryukov","Russia",4,0
111689,"a lanko","Russia",0,0
111709,"a navya","",1,0
111690,"a nekrasenko","Poland",0,0
111710,"a nunez mencias","",0,0
111691,"a p demichev","Russia",0,0
111711,"a pinar ozisik","United States of America",0,0
111692,"a r lodder","Netherlands",17,0
111712,"a s orobinskiy","",0,0
111693,"a s tuzovskiy","",0,0
111694,"a selcuk uluagac","United States of America",14,0
111714,"a sill","United States of America",128,0
111695,"a umamakeswari","",8,0
111715,"a v andreeva","",23,0
111696,"a v chugunov","",0,0
111716,"a v domashev","",0,0
111697,"a v klechikov","",0,0
111698,"a v vorobyev","Russia",0,0
111718,"a yu shcherbakov","Russia",0,0
111719,"aafaf ouaddah","",0,0
111700,"aarni heiskanen","",0,0
111720,"aaron fernstrom","United States of America",0,0
111721,"aaron m french","United States of America",7,0
111722,"aaron wright","United States of America",19,0
111742,"aashaka shah","",0,0
111743,"abdallah miladi","Japan",0,0
111724,"abdallah zoubir ourad","",0,0
111744,"abdellah ait ouahman","",0,0
111725,"abdellah ouaguid","",1,0
111745,"abdelmadjid bouabdallah","Republic of Ireland",0,0
111726,"abdelouahid derhab","",12,0
111746,"abdul ghafoor abbasi","South Africa",9,0
111727,"abdul quadir","",24,0
111747,"abdullah al omar","",1,0
111728,"abelardo arredondo","India",0,0
111748,"abhi shelat","Switzerland",0,0
111729,"abhiraj singh","",0,0
111749,"abhishek dubey","United Kingdom",52,0
111730,"abigail entwistle","",0,0
111731,"abraham bez surez","New Zealand",0,0
111751,"achsah mary marks","",0,0
111732,"adalberto elias","",0,0
111752,"adam abdullah","Australia",12,0
111733,"adam brinckman","",0,0
111753,"adam cecchetti","",0,0
111734,"adam croom","",11,0
111754,"adam ernest","",6,0
111735,"adam hahn","Spain",0,0
111755,"adam hayes","",4,0
111736,"adam hemlin billstrom","",0,0
111737,"adam jatowt","Singapore",22,0
111757,"adam johnson","",14,0
111738,"adam krellenstein","",0,0
111758,"adan sanchez de pedro crespo","Spain",1,0
111739,"adegboyega ojo","",17,0
111759,"adel elmessiry","France",0,0
111740,"adele botha","",15,0
111760,"adem efe gencer","Spain",5,0
111741,"adi benari","",0,0
111761,"aditya asgaonkar","",0,0
111762,"adnan imeri","",1,0
111782,"adrian burlacu","",10,0
111763,"adrian e coronado mondragon","",14,0
111783,"adrian hoppe","",0,0
111764,"adrian paschke","Germany",28,0
111784,"adrian v gheorghe","United States of America",0,0
111765,"adriano albuquerque","",5,0
111785,"adriantudor panescu","France",0,0
111766,"adriatik nikaj","Finland",0,0
111786,"advait deshpande","United States of America",3,0
111767,"afandi nur laila","Israel",0,0
111768,"aggelos kiayias","Mozambique",35,0
111788,"agniva banerjee","",0,0
111769,"agostino cortesi","",0,0
111789,"agustin isasa cuartero","Portugal",0,0
111770,"ahmad f taha","",7,0
111790,"ahmadreza sadeghi","",62,0
111771,"ahmed alketbi","",0,0
111791,"ahmed banafa","",0,0
111772,"ahmed ben ayed","United States of America",0,0
111792,"ahmed e kosba","",0,0
111773,"ahmed gomaa","",9,0
111793,"ahmed serhrouchni","",14,0
111774,"ahmed tidjani","",5,0
111794,"ahmet m kondoz","Iran",0,0
111775,"ahrash aleshi","United States of America",0,0
111795,"ai deng","United States of America",82,0
